ACTOR,EARNINGS,ROLES,MOVIE
Keanu Reeves,40985512,Neo,The Matrix
Carrie Fisher,11013692,Trinity,The Matrix
Laurence Fishburne,6627028,Morpheus,The Matrix
Hugo Weaving,53301987,Agent Smith,The Matrix
Emile Hirsch,1376799,Emil,The Matrix
Keanu Reeves,14280931,Neo,The Matrix Reloaded
Carrie Fisher,45893844,Trinity,The Matrix Reloaded
Laurence Fishburne,29171704,Morpheus,The Matrix Reloaded
Hugo Weaving,38578122,Agent Smith,The Matrix Reloaded
Keanu Reeves,1774495,Neo,The Matrix Revolutions
Carrie Fisher,847589,Trinity,The Matrix Revolutions
Laurence Fishburne,12711369,Morpheus,The Matrix Revolutions
Hugo Weaving,28693627,Agent Smith,The Matrix Revolutions
Keanu Reeves,3502878,Kevin Lomax,The Devils Advocate
Charlize Theron,52766856,Mary Ann Lomax,The Devils Advocate
Al Pacino,6352636,John Milton,The Devils Advocate
Tom Cruise,1558255,Lt. Daniel Kaffee,A Few Good Men
Jack Nicholson,18819366,Col. Nathan R. Jessup,A Few Good Men
Demi Moore,37443377,Lt. Cdr. JoAnne Galloway,A Few Good Men
Kevin Bacon,175266,Capt. Jack Ross,A Few Good Men
Kiefer Sutherland,5691551,Lt. Jonathan Kendrick,A Few Good Men
Noah Wyle,28918408,Cpl. Jeffrey Barnes,A Few Good Men
Cuba Gooding Jr.,30565936,Cpl. Carl Hammaker,A Few Good Men
Kevin Pollak,2380701,Lt. Sam Weinberg,A Few Good Men
J.T. Walsh,25156510,Lt. Col. Matthew Andrew Markinson,A Few Good Men
James Marshall,14044480,Pfc. Louden Downey,A Few Good Men
Christopher Guest,1879870,Dr. Stone,A Few Good Men
Aaron Sorkin,7804491,Man in Bar,A Few Good Men
Tom Cruise,5103879,Maverick,Top Gun
Kelly McGillis,11361850,Charlie,Top Gun
Val Kilmer,12757451,Iceman,Top Gun
Anthony Edwards,31422148,Goose,Top Gun
Tom Skerritt,1744446,Viper,Top Gun
Meg Ryan,9116047,Carole,Top Gun
Tom Cruise,22466802,Jerry Maguire,Jerry Maguire
Cuba Gooding Jr.,483256,Rod Tidwell,Jerry Maguire
Renee Zellweger,3615286,Dorothy Boyd,Jerry Maguire
Kelly Preston,7724590,Avery Bishop,Jerry Maguire
Jerry OConnell,61628789,Frank Cushman,Jerry Maguire
Jay Mohr,2308070,Bob Sugar,Jerry Maguire
Bonnie Hunt,11854813,Laurel Boyd,Jerry Maguire
Regina King,2212195,Marcee Tidwell,Jerry Maguire
Jonathan Lipnicki,6574228,Ray Boyd,Jerry Maguire
Wil Wheaton,33574846,Gordie Lachance,Stand By Me
River Phoenix,50529902,Chris Chambers,Stand By Me
Jerry OConnell",12420529,Vern Tessio,Stand By Me
Corey Feldman,5758566,Teddy Duchamp,Stand By Me
John Cusack,8466257,Denny Lachance,Stand By Me
Kiefer Sutherland,23607426,Ace Merrill,Stand By Me
Marshall Bell,49386447,Mr. Lachance,Stand By Me
Jack Nicholson,13791558,Melvin Udall,As Good as It Gets
Helen Hunt,2917431,Carol Connelly,As Good as It Gets
Greg Kinnear,14583882,Simon Bishop,As Good as It Gets
Cuba Gooding Jr.,75298378,Frank Sachs,As Good as It Gets
Robin Williams,12689011,Chris Nielsen,What Dreams May Come
Cuba Gooding Jr.,2322346,Albert Lewis,What Dreams May Come
Annabella Sciorra,10094819,Annie Collins                          Nielsen,What Dreams May Come
Max von Sydow,19712888,The Tracker,What Dreams May Come
Werner Herzog,27142290,The Face,What Dreams May Come
Ethan Hawke,23722111,Ishmael Chambers,Snow Falling on Cedars
Rick Yune,17714129,Kazuo Miyamoto,Snow Falling on Cedars
Max von Sydow,11906059,Nels Gudmundsson,Snow Falling on Cedars
James Cromwell,30453522,Judge Fielding,Snow Falling on Cedars
Tom Hanks,35562044,Joe Fox,Youve Got Mail
Meg Ryan,78964454,Kathleen Kelly,Youve Got Mail
Greg Kinnear,18949132,Frank Navasky,Youve Got Mail
Parker Posey,23664167,Patricia Eden,Youve Got Mail
Dave Chappelle,34915669,Kevin Jackson,Youve Got Mail
Steve Zahn,5639102,George Pappas,Youve Got Mail
Tom Hanks,53062278,Sam Baldwin,Sleepless in Seattle
Meg Ryan,9190577,Annie Reed,Sleepless in Seattle
Rita Wilson,7298379,Suzy,Sleepless in Seattle
Bill Pullman,696331,Walter,Sleepless in Seattle
Victor Garber,13103960,Greg,Sleepless in Seattle
Rosie ODonnell",2390843,Becky,Sleepless in Seattle
Tom Hanks,12852978,Joe Banks,Joe Versus the Volcano
Meg Ryan,21432227,DeDe,Joe Versus the Volcano
Nathan Lane,11968368,Baw,Joe Versus the Volcano
Billy Crystal,37804516,Harry Burns,When Harry Met Sally
Meg Ryan,1429306,Sally Albright,When Harry Met Sally
Carrie Fisher,58218593,Marie,When Harry Met Sally
Bruno Kirby,62954857,Jess,When Harry Met Sally
Tom Hanks,2417704,Mr. White,That Thing You Do
Liv Tyler,4110809,Faye Dolan,That Thing You Do
Charlize Theron,42528006,Tina,That Thing You Do
Keanu Reeves,28385023,Shane Falco,The Replacements
Brooke Langton,54448687,Annabelle Farrell,The Replacements
Gene Hackman,12370870,Jimmy McGinty,The Replacements
Orlando Jones,3633762,Clifford Franklin,The Replacements
Marshall Bell,14881286,Admiral,RescueDawn
Christian Bale,3523648,Dieter Dengler,RescueDawn
Zach Grenier,18413461,Squad Leader,RescueDawn
Steve Zahn,35278066,Duane,RescueDawn
Robin Williams,196322,Armand Goldman,The Birdcage
Nathan Lane,9993722,Albert Goldman,The Birdcage
Gene Hackman,23021515,Sen. Kevin Keeley,The Birdcage
Richard Harris,14858093,English Bob,Unforgiven
Clint Eastwood,13250496,Bill Munny,Unforgiven
Gene Hackman,5723645,Little Bill Daggett,Unforgiven
Keanu Reeves,47532309,Johnny Mnemonic,Johnny Mnemonic
Takeshi Kitano,6154484,Takahashi,Johnny Mnemonic
Dina Meyer,88452403,Jane,Johnny Mnemonic
Ice-T,10517331,J-Bone,Johnny Mnemonic
Tom Hanks,34857026,Dr. Henry Goose,Cloud Atlas
Hugo Weaving,31200452,Bill Smoke,Cloud Atlas
Halle Berry,2947352,Luisa Rey,Cloud Atlas
Jim Broadbent,9834106,Vyvyan Ayrs,Cloud Atlas
Tom Hanks,2137988,Dr. Robert Langdon,The Da Vinci Code
